university,city,country,meal_inexpensive_restaurant,water,cigarettes,monthly_pass,taxi,basic,internet,cinema,appartment_centre,appartment_outside_centre,beer_restaurant,beer_market,fruits,vegetables,latitude,longitude
North Dakota State University,Fargo,United States,12,2.88,6,42,1.42,154.44,65.5,11.32,1112.5,783.12,5.125,4.135,4.8275,3.77,46.877229,-96.789821
Northeastern University China,Shenyang,China,2.79,0.6,3.49,11.17,0.28,58.7,15.36,4.54,279.36,153.65,1.015,1.34,1.435,0.99,41.8026095,123.4279105
Universidad Politécnica de Madrid,Madrid,Spain,12.46,0.72,5.19,56.66,1.14,163.71,37.21,9.35,1041.06,827.49,3.64,1.305,1.895,1.325,40.4167047,-3.7035825
Shenzhen University,Shenzhen,China,4.19,0.54,3.49,34.92,0.36,66.36,17.87,6.98,724.86,426.89,2.515,1.15,1.6425,1.09,22.5445741,114.0545429
Tongji University,Shanghai,China,5.59,0.62,3.49,27.94,0.42,64.76,16.74,8.38,1080.07,564.3,2.655,1.42,1.8375,0.92,31.2323437,121.4691024
University of Electronic Science and Technology of China,Chengdu,China,2.79,0.61,2.86,26.11,0.28,35.09,11.55,5.59,430.68,251.42,1.955,1.44,1.41,0.755,30.6598628,104.0633717
University of Porto,Porto,Portugal,9.35,0.54,5.4,41.55,0.73,118.07,35.29,7.27,778.89,614.45,2.13,1.53,1.5775,1.235,41.1494512,-8.6107884
University of Tennessee Knoxville,Knoxville,United States,14,1.33,6,60.11,1.24,193.04,65.4,12,1164.29,911.11,4.75,1.945,3.3575,2.47,35.9603948,-83.9210261
Beijing Jiaotong University,Beijing,China,4.19,0.63,4.19,41.9,0.42,53.68,20.28,8.38,1176.59,660.6,2.725,1.705,1.7875,0.925,39.906217,116.3912757
Carleton University,Ottawa,Canada,18.61,1.51,11.17,92.14,1.38,121.58,59.34,11.17,1271.09,1005.11,5.585,2.265,2.75,1.73,45.4208777,-75.6901106
De Montfort University,Leicester,United Kingdom,16.22,1.09,13.21,64.86,1.31,220.46,36.64,12.01,900.88,686.17,5.26,2.225,1.6725,1.03,52.6362,-1.1331969
Illinois Institute of Technology,Chicago,United States,20,2.02,15,90,2.11,163.78,63.93,15,1969.12,1436.82,6,3.22,3.415,1.99,41.8755616,-87.6244212
Leiden University,Leiden,Netherlands,15.58,0.65,8.31,51.93,2.19,174.82,50.75,12.46,1285.46,1103.62,4.67,1.54,2.0525,1.015,52.1594747,4.4908843
Nanjing University of Science and Technology,Nanjing,China,3.07,0.52,3.49,15.18,0.42,55.48,6.56,6.7,497.25,293.32,1.14,1.17,1.5825,1.085,32.0615513,118.7915619
National Technical University of Athens,Athens,Greece,12.46,0.88,4.78,31.16,0.83,261.34,31.74,8.31,508.7,453.9,4.67,1.895,1.7325,1,37.9839412,23.7283052
Northwestern University,Evanston,United States,16.5,1.99,14,88,1.37,95.44,108.5,15,1656.67,1233.33,8.25,2.32,4.6,4.6,42.0447388,-87.6930459
South China University of Technology,Guangzhou,China,4.05,0.5,3.63,27.94,0.36,56.19,16.34,8.38,523.26,311.48,1.26,1.475,1.615,0.85,23.1301964,113.2592945
University at Buffalo SUNY - School of Engineering and Applied Sciences,Buffalo,United States,15,2.07,10,75,1.86,177.81,73.5,15,1388.33,1008.33,5.5,3.19,5.0925,3,42.8867166,-78.8783922
University of Nebraska-Lincoln,Lincoln,United States,18,1.93,6.81,20,1.18,98.32,68.38,10,975,912.5,4.5,2.18,2.9075,2.2,40.8088861,-96.7077751
University of Victoria,Victoria,Canada,18.61,1.92,12.47,63.28,1.49,97.88,71.47,10.78,1495.66,1195.92,5.96,2.635,3.1825,2.41,48.4283182,-123.3649533
University of Western Ontario,London,United Kingdom,18.02,1.38,15.62,180.18,2.04,288.5,35.29,15.62,2311.99,1669.19,6.55,2.565,2.2525,1.39,51.5073359,-0.12765
Amirkabir University of Technology,Tehran,Iran,4,0.31,3,15,0.36,21.13,13.79,1.5,539.97,415.02,1.41,0.875,1.085,0.555,35.6892523,51.3896004
Boston University,Boston,United States,20,2.17,13,90,1.86,175.95,60.18,15,2691.67,1959.38,7.5,2.73,4.235,2.95,42.3554334,-71.060511
China University of Geosciences Wuhan,Wuhan,China,3.49,0.58,2.79,41.9,0.27,39.7,14.43,5.1,343.61,174.6,1.805,1.245,1.505,1.025,30.5951051,114.2999353
Chongqing University,Chongqing,China,2.79,0.53,3.49,55.87,0.35,45.06,10.71,4.89,268.18,164.12,1.815,1.36,1.325,0.91,29.5656729,106.5479189
Claude Bernard Lyon 1 University,Lyon,France,15.58,0.97,10.91,68.76,1.6,181.84,38.34,12.93,825.11,599.91,6.36,2.355,3.1275,1.815,45.7578137,4.8320114
Duke University,Durham,United States,15,1.91,7.49,36,1.4,135.87,65,12,1550,1366.67,5.25,2.37,3.745,2.595,35.996653,-78.9018053
Hunan University of Arts & Science (Changde University),Changde,China,2.79,0.42,2.79,,0.28,82.93,18.79,4.19,,,1.295,1.465,2.4275,1.815,29.034552,111.6928724
"Grenoble INP, Graduate schools of Engineering and Management Université Grenoble Alpes",Grenoble,France,13.5,1.04,10.39,62.32,1.93,165.77,33.47,10.91,617.45,498.57,5.19,2.34,2.395,1.785,45.1875602,5.7357819
Johns Hopkins University,Baltimore,United States,14.5,2.54,9.99,74,2.49,153.94,74.33,12,1559.96,1350,6.75,2.71,4.1925,2.99,39.2908816,-76.610759
Kyung Hee Cyber University,Seoul,South Korea,7.16,1.06,3.39,41.47,0.9,176.24,22.06,9.42,809.83,583.6,3.77,2.295,5.8125,3.335,37.5666791,126.9782914
Toulouse III - Université Paul Sabatier,Toulouse,France,16.88,0.82,10.59,56.09,2.08,182.4,33.58,10.39,694.2,549.21,5.71,2.205,3.0525,1.63,43.6044622,1.4442469
Shandong University,Jinan,China,2.79,0.56,2.79,5.59,0.21,66.49,7.96,5.24,285.54,212.46,1.54,1.085,1.0325,0.36,36.6507007,117.1140042
IMT Atlantique - Graduate Engineering School,Nantes,France,13.5,0.41,10.59,57.13,0.85,173.06,34.05,11.43,606.15,536.23,5.45,2.145,2.64,2.14,47.2186371,-1.5541362
Telecom SudParis,Paris,France,15.58,0.83,10.91,77.9,1.9,197.79,30.52,12.46,1325.47,978.26,6.75,2.53,2.8775,2.155,48.8534951,2.3483915
The University of Texas at Arlington,Arlington,United States,17,1.66,8,90,1.34,148.98,65.56,15,2200,1768.33,7.5,1.92,4.13,2.485,32.7355816,-97.1071186
Tianjin University,Tianjin,China,4.19,0.66,2.86,15.49,0.31,75.2,10.87,6.98,384.12,270.05,1.75,1.225,1.2525,0.73,39.084802,117.1959904
UNICAMP - University of Campinas,Campinas,Brazil,5.59,0.5,1.86,50.31,0.72,67.41,18.3,7.45,328.42,219.46,1.58,1.71,1.025,0.775,-22.90556,-47.06083
University of Florence,Florence,Italy,15.58,0.61,6.23,36.35,1.3,223.83,30.47,8.83,842.5,642.69,4.67,1.76,2.3775,1.49,43.7698712,11.2555757
University of Ljubljana,Ljubljana,Slovenia,10.39,0.74,4.67,38.43,1.09,246.17,34.38,8.31,695.79,559.26,3.12,1.56,2.065,1.095,46.0500268,14.5069289
University of Manitoba,Winnipeg,Canada,14.89,1.64,13.4,77.43,1.19,147.84,60.96,10.42,821.5,833.45,4.84,2.98,3.005,2.375,49.8955367,-97.1384584
University of Maribor,Maribor,Slovenia,8.31,0.62,4.62,30.12,1.04,215.02,34.11,7.27,402.49,367.44,2.75,1.57,1.885,1.265,46.5576439,15.6455854
The University of Milan,Sesto San Giovanni,Italy,9.87,0.21,5.71,,,207.74,31.16,6.23,,,3.895,3.635,1.9225,1.04,45.5357218,9.2376549
University of Modena and Reggio Emilia - UNIMORE,Modena,Italy,15.58,0.4,5.79,32.72,1.14,199.95,28.04,9.35,623.22,519.35,5.19,1.4,2.165,1.525,44.5384728,10.93596087
University of Montpellier,Montpellier,France,13.5,0.65,10.39,31.16,1.46,142.79,36.35,12.46,733.93,600.14,4.8,2.565,2.615,1.645,43.6112422,3.8767337
University of Naples Federico II,Naples,Italy,15.58,0.63,6.23,39.47,1.25,150.69,30.04,9.35,657.84,398.17,3.895,2.015,1.9175,1.28,40.8358846,14.2487679
University of Seville,Sevilla,Spain,10.39,0.6,5.4,36.51,1.01,119.27,36.54,8.31,664.55,464.26,2.6,1.385,2.1475,1.51,37.3886303,-5.9953403
Vrije Universiteit Brussel (VUB),Brussels,Belgium,15.58,0.98,7.79,51.93,2.08,206.48,50.69,12.39,963.92,804.19,5.06,2.73,2.265,1.335,50.8465573,4.351697
West Virginia University,Morgantown,United States,20,1.5,9,30,1.24,99.47,80,16,1100,900,5.5,4.5,2.87,2.19,39.6296809,-79.9559437
Xiamen University,Xiamen,China,2.79,0.5,2.79,8.38,0.31,43.9,8.63,5.59,451.63,265.39,2.2,0.87,1.6,0.925,24.4801069,118.0853479
Yale University,New Haven,United States,15,1.88,11.53,65,1.4,188.61,64.28,15,1725,1456.25,7.5,3.08,4.4925,3.43,41.3082138,-72.9250518
Anhui University,Hefei,China,2.79,0.79,2.79,13.97,0.35,88.22,16.76,5.59,270.05,139.68,1.47,1.78,1.115,0.5,31.8228094,117.2218033
Auburn University,Auburn,United States,20,2.26,7.75,,2.33,156.59,48.75,12,937.5,725,5.375,2.5,4.2975,3.67,32.6098566,-85.4807825
Ben-Gurion University of the Negev,Beersheba,Israel,16.02,1.01,10.92,35.82,1.05,267.47,27.09,11.65,580.17,514.63,7.285,2.4,2.07,1.27,31.2457442,34.7925181
Drexel University,Philadelphia,United States,19,1.74,11,96,3.42,166.42,67.55,14,1886.56,1260.83,7,3.57,4.18,3.265,39.9527237,-75.1635262
Erasmus University Rotterdam,Rotterdam,Netherlands,16.1,0.9,8.52,83.1,2.03,233.29,43.11,14.15,1371.25,1024.96,4.67,1.515,2.055,1.03,51.9244424,4.47775
Florida State University,Tallahassee,United States,14,1.84,6.5,19.5,1.49,205.77,68.25,15,1500,1133.33,7,4.21,4.6,3.06,30.4380832,-84.2809332
Louisiana State University,Baton Rouge,United States,19,2.62,6.56,56,1.24,134.22,54,12,1300,966.67,3.81,3.725,3.59,2.625,30.4507936,-91.1391153
Oklahoma State University,Stillwater,United States,11.25,2.11,6.28,17.5,1.55,223.75,67,10,726.67,550,4,2.025,3.25,1.89,36.1156306,-97.0585717
Politecnico di Torino,Turin,Italy,13.5,0.4,6.23,39.47,1.79,188.12,28.55,9.35,565.29,433.03,4.67,1.69,1.9975,1.19,45.0677551,7.6824892
Poznan University of Technology,Poznan,Poland,6.66,0.51,4,26.66,0.62,128.54,14.06,5.55,511.48,428.52,2.165,1.055,1.4175,0.655,52.4006632,16.91973259
Toronto Metropolitan University,Toronto,Canada,18.61,1.68,13.07,116.15,1.3,128.64,54.88,11.17,1696.63,1435.71,5.77,2.59,2.77,2.58,43.6534733,-79.383961
Singapore Management University,Singapore,Singapore,10.92,1.39,10.92,93.19,0.73,142.65,34.37,10.92,2660.73,1965.72,8.01,4.85,3.2125,2.155,1.357107,103.8194992
Slovak University of Technology in Bratislava,Bratislava,Slovakia,8.31,0.73,4.67,31.16,1.04,213.5,19.45,9.35,669.82,505.91,2.34,1.235,2.1625,1.005,48.1516988,17.1093063
Soochow University,Taipei,Taiwan,5.82,1.1,4.2,41.35,0.81,81.28,25.83,10.34,663.07,429.98,2.425,2.04,3.05,2.55,25.0375198,121.5636796
Braunschweig University of Technology,Braunschweig,Germany,7.27,0.62,7.27,69.59,2.34,271.84,44.98,11.95,439.37,412.02,3.64,1.175,1.6975,0.72,52.2646577,10.5236066
University of Genoa,Genoa,Italy,15.58,0.68,6.02,47.78,0.99,149.44,30.63,9.09,669.96,484.03,5.19,2.255,2.3225,1.42,44.40726,8.9338624
The University of Iowa,Iowa City,United States,20,1.5,9,32,1.52,131.68,77,10,861.67,625,4.75,3.77,6.3675,3.41,41.6612561,-91.5299106
University of Minho,Braga,Portugal,8.31,0.55,5.19,27.01,0.49,101.17,32.78,6.54,614.56,447.94,2.445,1.235,1.515,1.075,41.5510583,-8.4280045
The University of North Carolina at Charlotte,Charlotte,United States,15,1.6,7,88,2.31,149.11,68,13.25,1713.89,1419.5,5,2.335,3.88,2.855,35.2272086,-80.8430827
The University of Oviedo,Oviedo,Spain,12.46,0.55,5.19,41.55,1.04,131.14,39.3,8.57,511.04,428.46,2.86,1.12,1.635,1.375,43.3604218,-5.8450534
University of Perpignan Via Domitia,Perpignan,France,12.98,0.56,10.39,,1.58,143.02,31.31,10.39,700.02,623.22,3.895,2.335,2.12,1.81,42.6985304,2.8953121
University of South Carolina,Columbia,United States,15,1.94,7,50,1.55,162.37,60.99,11,1497,1172.5,4.19,3.155,2.89,1.835,34.0007493,-81.0343313
University of South Florida,Tampa,United States,21,2.22,7.75,66,2.49,161.79,63.19,14,1995.95,1584.47,6.5,2.93,3.5275,2.905,27.9477595,-82.458444
University of Strasbourg,Strasbourg,France,15.58,0.28,10.39,55.05,0.78,184.59,36.22,11.27,727.09,584.27,5.71,2.795,2.2575,1.495,48.584614,7.7507127
Utah State University,Logan,United States,13.75,1.93,7,0,,156.13,64.17,12,1200,1066.67,6.5,2.75,3.13,1.695,40.1075089,-89.3768539
Warsaw University of Technology,Warsaw,Poland,7.78,0.52,4,24.44,0.67,201.12,13.34,6.66,778.49,592.63,3,1.17,1.48,0.745,52.2319581,21.0067249
Aix-Marseille University,Marseille,France,12.98,0.56,10.39,51.93,1.79,143.02,31.31,12.46,705.02,553.97,4.93,2.335,2.385,1.88,43.2961743,5.3699525
Bilkent University,Ankara,Turkey,3.76,0.24,1.61,18.72,0.32,50.99,8.75,2.68,280.27,153.34,2.445,1.79,0.98,0.495,39.9207886,32.8540482
Cairo University,Cairo,Egypt,4.07,0.22,2.04,12.22,0.14,26.99,16.55,4.48,197.56,113.99,2.09,1.605,0.6425,0.305,30.0443879,31.2357257
Curtin University,Perth,Australia,16.77,1.45,26.82,90.34,1.15,135.16,51.98,13.41,1187.86,933.42,6.71,4.38,3.055,1.735,-31.9558964,115.8605801
Feng Chia University,Taichung,Taiwan,3.39,1.07,3.55,40.45,0.52,57.84,24.54,9.05,371.54,280.67,2.26,1.87,3.0225,2.7,24.163162,120.6478282
George Mason University,Fairfax,United States,19.38,1.89,7.47,,1.34,190.3,73.57,15,2200,1733.33,6.81,3.665,3.8475,2.81,38.8462236,-77.3063733
Harbin Engineering University,Harbin,China,2.79,0.98,1.75,18.86,0.27,57.04,11.64,4.19,279.36,167.61,1.4,1.56,1.9425,1.005,45.8016143,126.5287796
Indiana University - Purdue University Indianapolis,Indianapolis,United States,19,1.64,7.55,60,1.52,225.27,73.88,12,1330.62,1052.38,5.5,3.24,4.5875,3.815,39.7683331,-86.1583502
Istanbul Technical University,Istanbul,Turkey,5.36,0.32,1.66,32.3,0.38,67.55,8.58,3.76,538.89,312.32,2.95,1.95,1.13,0.555,41.0091982,28.9662187
Jilin University,Changchun,China,2.79,0.56,3.49,8.38,0.28,52.61,11.64,8.38,314.28,216.5,1.92,1.215,1.0325,0.63,43.8843102,125.3180952
Macquarie University,Sydney,Australia,13.41,1.41,26.82,145.79,1.81,129.19,50.02,14.75,1657.31,1243.61,6.285,4.26,3.18,2.175,-33.8698439,151.2082848
Instituto Politécnico Nacional,Mexico City,Mexico,7.78,0.83,3.63,15.79,0.49,49.15,27.5,4.67,789.83,484.05,3.345,1.98,1.6975,1.525,19.4326296,-99.1331785
Universidade Nova de Lisboa,Lisbon,Portugal,12.46,0.8,5.51,41.55,0.52,127.21,34.41,7.79,1215.82,801.79,2.86,1.65,1.6575,1.185,38.7077507,-9.1365919
Oregon State University,Corvallis,United States,16,,10,0,,117.42,82.67,11.5,1383.33,1233.33,6,,2.1475,1.32,44.5645659,-123.2620435
Rochester Institute of Technology,Rochester,United States,20,1.56,11.53,56,3.11,150.75,66.22,11,908.33,906.25,5,3.36,3.9725,2.67,43.157285,-77.615214
Tampere University of Technology,Tampere,Finland,12.98,1.2,9.4,58.17,1.76,94.04,22.47,15.06,792.87,624.95,6.23,2.93,2.0375,1.2,61.4980214,23.7603118
The University of New Mexico,Albuquerque,United States,15,2,9,30,3,123.8,70.83,12.5,1311.36,1070.83,5,3.205,3.2,2.1,35.0841034,-106.650985
University College Cork,Cork,Ireland,15.58,1.4,15.58,84.13,1.43,170.79,51.86,11.43,1454.18,1166.8,5.245,3.055,2.2,1.18,51.897077,-8.4654674
Universidade de Aveiro,Aveiro,Portugal,7.27,0.38,5.3,31.16,0.98,105.84,34.74,7.27,573.28,510.69,2.34,1.525,1.4825,1.095,40.640496,-8.6537841
University of Belgrade,Belgrade,Serbia,7.96,0.55,3.54,28.98,0.71,147.56,23.6,5.31,635.45,397.77,2.43,0.945,1.385,0.71,44.8178131,20.4568974
University of Bordeaux,Bordeaux,France,15.58,0.62,10.39,41.65,1.72,159.37,35.17,10.85,808.7,629.71,5.97,2.405,2.6025,1.725,44.841225,-0.5800364
University of Cantabria,Santander,Spain,12.46,0.76,5.35,35.84,1.35,167.23,37.65,7.12,597.25,450.1,2.365,1.665,1.8875,1.33,43.4620412,-3.8099719
University of Canterbury,Christchurch,New Zealand,13.67,0.94,22.03,71.59,1.93,108.74,47.55,11.81,971.59,905.58,5.9,3.765,2.7025,1.725,-43.530955,172.6366455
Universidad de Castilla la Mancha,Toledo,United States,20,1.35,7.26,79.5,1.43,276.5,55.57,10,1133.33,750,4.125,3.795,2.8625,1.885,41.6529143,-83.5378173
The University of Exeter,Exeter,United Kingdom,14.41,1.37,14.71,71.47,1.6,227.5,37.84,10.81,903.46,792.78,4.5,2.28,1.63,1.09,50.7255794,-3.5269497
University of Kentucky,Lexington,United States,13.5,2.01,7.12,50,1.55,182.5,70.87,12,1205.67,936.67,5.25,3.48,3.0775,2.235,38.0464066,-84.4970393
Leipzig University,Leipzig,Germany,9.35,0.47,7.79,84.13,2.6,235.5,38.81,10.39,573.23,400.48,3.895,1,1.835,1.13,51.3406321,12.3747329
